id;teacher_id;class_id;subject;academic_year;semester;created_at
a032c738-0472-482d-aea0-feee0b1410d1;G-18;8F;PRAKARYA;2025/2026;1;2025-09-20 05:45:42.601363+00
a0dcd4c6-3972-4cb9-b146-32bef8057118;G-08;8F;PENDIDIKAN PANCASILA;2025/2026;1;2025-09-20 05:45:42.601363+00
a38836cf-367d-473d-b5db-ddf62e7aa8a2;G-02;9B;BAHASA SUNDA;2025/2026;1;2025-09-20 05:45:42.601363+00
a52fd274-18ce-404b-8c47-1559ec549358;G-08;9B;PENDIDIKAN PANCASILA;2025/2026;1;2025-09-20 05:45:42.601363+00
a530c1d6-5b72-4c19-959f-7e21a78f88ed;G-29;7C;KODING & AI;2025/2026;1;2025-09-20 05:45:42.601363+00
a614f93f-ccf3-43d8-959c-6ab03f7c9559;G-02;8A;BAHASA SUNDA;2025/2026;1;2025-09-20 05:45:42.601363+00
a65c9b06-5ec6-467f-88e6-c9da1caecc3c;G-03;9E;PJOK;2025/2026;1;2025-09-20 05:45:42.601363+00
a6f3796d-f17f-464a-953e-d109a510d348;G-17;9B;BAHASA INDONESIA;2025/2026;1;2025-09-20 05:45:42.601363+00
aa06a901-c5bb-4509-930d-0340da9f9169;G-02;8E;BAHASA SUNDA;2025/2026;1;2025-09-20 05:45:42.601363+00
aab5539a-c127-4df5-8a2c-ed374bb92b76;G-24;9E;MATEMATIKA;2025/2026;1;2025-09-20 05:45:42.601363+00
ab044ef6-f3a6-4f28-838c-db89e1c68a57;G-15;7E;BAHASA INDONESIA;2025/2026;1;2025-09-20 05:45:42.601363+00
acf6adf1-8c0c-4b35-bff1-db894c43e879;G-14;7B;MATEMATIKA;2025/2026;1;2025-09-20 05:45:42.601363+00
b21cda35-ca45-426f-8a8d-c39595bd5bdb;G-29;8D;KODING & AI;2025/2026;1;2025-09-20 05:45:42.601363+00
b257dbdf-8a1f-4fa1-806f-f8d58522fa6b;G-13;7E;BAHASA INGGRIS;2025/2026;1;2025-09-20 05:45:42.601363+00
b2a515e3-944e-4a32-8450-6b8bab2df984;G-07;8D;PENDIDIKAN AGAMA ISLAM;2025/2026;1;2025-09-20 05:45:42.601363+00
b36fa669-81d4-4f40-b228-f49121cd98bd;G-13;7A;BAHASA INGGRIS;2025/2026;1;2025-09-20 05:45:42.601363+00
b470e592-0ea0-4ab7-b588-06ffc11c7e2e;G-06;8C;PENDIDIKAN PANCASILA;2025/2026;1;2025-09-20 05:45:42.601363+00
b4a24477-f55d-4fd4-824e-3b2ff668ed4a;G-02;8D;BAHASA SUNDA;2025/2026;1;2025-09-20 05:45:42.601363+00
bc1423dd-551e-4bdc-a6a8-92f28bcb8c20;G-05;8A;MATEMATIKA;2025/2026;1;2025-09-20 05:45:42.601363+00
bc81f3c6-db30-43c0-ac27-b0ebb00e9610;G-18;8E;PRAKARYA;2025/2026;1;2025-09-20 05:45:42.601363+00
bd962b25-85ef-4402-8ca0-c09639dfaf58;G-08;9C;PENDIDIKAN PANCASILA;2025/2026;1;2025-09-20 05:45:42.601363+00
be4e3950-7d1c-466a-90cf-8daa2b9f3fb8;G-12;7C;BAHASA INGGRIS;2025/2026;1;2025-09-20 05:45:42.601363+00
bf1b713f-9e15-4b4b-b7b4-630f50d9e369;G-03;9B;PJOK;2025/2026;1;2025-09-20 05:45:42.601363+00
c044f108-c025-4af4-a3dd-ed46cf1a6bf6;G-03;7C;PJOK;2025/2026;1;2025-09-20 05:45:42.601363+00
c049c791-2f13-47bf-aa84-1a794a1517d0;G-29;7A;KODING & AI;2025/2026;1;2025-09-20 05:45:42.601363+00
c199f2d6-830d-4ced-9dd7-5b07b6fd75d3;G-30;;BP/BK;2025/2026;1;2025-09-20 05:45:42.601363+00
